2020-11-06 11:32:16 INFO  eBanking:55 - Taking Scrrenshot
2020-11-06 11:46:54 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 11:46:54 INFO  eBanking:59 - Start Report
2020-11-06 11:56:22 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 11:56:22 INFO  eBanking:59 - Start Report
2020-11-06 11:56:33 INFO  eBanking:41 - Entered Username
2020-11-06 11:56:33 INFO  eBanking:43 - Entered passwored
2020-11-06 12:00:59 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:00:59 INFO  eBanking:59 - Start Report
2020-11-06 12:15:07 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:28:27 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:38:16 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:40:23 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:41:22 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:42:07 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 12:54:07 INFO  eBanking:52 - Taking Scrrenshot
2020-11-06 12:55:02 INFO  eBanking:52 - Taking Scrrenshot
2020-11-06 12:56:43 INFO  eBanking:52 - Taking Scrrenshot
2020-11-06 12:57:31 INFO  eBanking:52 - Taking Scrrenshot
2020-11-06 13:04:20 INFO  eBanking:52 - Taking Scrrenshot
2020-11-06 13:06:58 INFO  eBanking:53 - Taking Scrrenshot
2020-11-06 13:11:26 INFO  eBanking:53 - Taking Scrrenshot
2020-11-06 13:13:09 INFO  eBanking:53 - Taking Scrrenshot
2020-11-06 13:19:26 INFO  eBanking:59 - Taking Scrrenshot
2020-11-06 13:20:10 INFO  eBanking:59 - Taking Scrrenshot
2020-11-06 13:25:07 INFO  eBanking:61 - Taking Scrrenshot
2020-11-06 13:28:57 INFO  eBanking:61 - Taking Scrrenshot
2020-11-06 14:10:02 INFO  eBanking:61 - Taking Scrrenshot
2020-11-06 14:13:25 INFO  eBanking:36 - Taking Scrrenshot
2020-11-06 14:26:23 INFO  eBanking:69 - Taking Scrrenshot
2020-11-06 14:31:29 INFO  eBanking:76 - Taking Scrrenshot
2020-11-06 14:31:58 INFO  eBanking:76 - Taking Scrrenshot
2020-11-06 14:36:47 INFO  eBanking:85 - Taking Scrrenshot
2020-11-06 14:46:18 INFO  eBanking:86 - Taking Scrrenshot
2020-11-06 14:48:15 INFO  eBanking:86 - Taking Scrrenshot
2020-11-06 14:52:01 INFO  eBanking:86 - Taking Scrrenshot
2020-11-06 15:01:07 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:04:21 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:08:32 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:11:30 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:20:53 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:25:48 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:25:56 INFO  eBanking:56 - Taking Scrrenshot
2020-11-06 15:28:41 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:28:49 INFO  eBanking:57 - Taking Scrrenshot
2020-11-06 15:31:06 INFO  eBanking:87 - Taking Scrrenshot
2020-11-06 15:31:16 INFO  eBanking:57 - Taking Scrrenshot
2020-11-06 15:51:20 INFO  eBanking:51 - Taking Scrrenshot
2020-11-06 15:51:29 INFO  eBanking:22 - Taking Scrrenshot
2020-11-06 15:55:53 INFO  eBanking:51 - Taking Scrrenshot
2020-11-06 15:56:01 INFO  eBanking:22 - Taking Scrrenshot
2020-11-06 16:34:34 INFO  eBanking:22 - Taking Scrrenshot
2020-11-13 11:44:29 INFO  eBanking:11 - launch application
2020-11-13 12:39:25 INFO  eBanking:51 - Taking Scrrenshot
2020-11-13 12:40:22 INFO  eBanking:14 - launch application
2020-11-13 12:40:28 INFO  eBanking:19 - Entered username
2020-11-13 12:40:28 INFO  eBanking:21 - Entered password
2020-11-13 12:43:04 INFO  eBanking:14 - launch application
2020-11-13 12:43:09 INFO  eBanking:19 - Entered username
2020-11-13 12:43:09 INFO  eBanking:21 - Entered password
2020-11-13 12:45:12 INFO  eBanking:14 - launch application
2020-11-13 12:45:17 INFO  eBanking:19 - Entered username
2020-11-13 12:45:17 INFO  eBanking:21 - Entered password
2020-11-13 13:00:25 INFO  eBanking:14 - launch application
2020-11-13 13:11:28 INFO  eBanking:14 - launch application
2020-11-13 13:11:31 INFO  eBanking:19 - Entered username
2020-11-13 13:11:31 INFO  eBanking:21 - Entered password
2020-11-13 14:34:50 INFO  eBanking:15 - launch application
2020-11-13 14:35:55 INFO  eBanking:15 - launch application
